"GeneSymbol"
"gfcA"
"gfcB"
"gfcC"
"gfcD"
"gfcE"
"etp"
"etk"
"appA"
"yccB"
"yacG"
"appB"
"appC"
"hyaF"
"hyaE"
"hyaD"
"hyaC"
"hyaB"
"hyaA"
"serT"
"yccA"
"mutT"
"yccK"
"yccX"
"yccW"
"hspQ"
"yccU"
"yccT"
"mgsA"
"helD"
"yccF"
"yccS"
"secA"
"sxy"
"sulA"
"ompA"
"ycbG"
"ycbZ"
"fabA"
"rmf"
"ymbA"
"pqiB"
"pqiA"
"secM"
"uup"
"rlmL"
"ycbX"
"ycbW"
"pyrD"
"ycbF"
"ycbV"
"ycbU"
"ycbT"
"ycbS"
"lpxC"
"ycbR"
"ycbQ"
"ssuE"
"ssuA"
"ssuD"
"ssuC"
"ssuB"
"pepN"
"pncB"
"asnS"
"ftsZ"
"ompF"
"aspC"
"ycbL"
"ycbK"
"ycbB"
"mukB"
"mukE"
"mukF"
"smtA"
"ycbC"
"ftsA"
"ycbJ"
"kdsB"
"ycaR"
"ycaQ"
"lpxK"
"msbA"
"ycaI"
"ihfB"
"rpsA"
"cmk"
"ftsQ"
"ycaL"
"aroA"
"serC"
"ycaP"
"ycaO"
"focA"
"pflB"
"pflA"
"ycaK"
"ycaN"
"ddlB"
"ycaM"
"ycaD"
"ycaC"
"dmsC"
"dmsB"
"dmsA"
"serS"
"rarA"
"lolA"
"ftsK"
"murC"
"mog"
"lrp"
"trxB"
"cydD"
"cydC"
"aat"
"infA"
"clpA"
"clpS"
"cspD"
"murG"
"macB"
"macA"
"ybjX"
"ybjD"
"aqpZ"
"ybjE"
"hcp"
"hcr"
"poxB"
"ltaE"
"ftsW"
"ybjT"
"ybjS"
"ybjR"
"ybjQ"
"ybjP"
"artP"
"artI"
"artQ"
"artM"
"artJ"
"murD"
"rumB"
"ybjO"
"potI"
"potH"
"potG"
"potF"
"ybjN"
"rimK"
"nfsA"
"ybjC"
"mraY"
"grxA"
"ybjM"
"ybjL"
"rybB"
"ybjK"
"ybjJ"
"ybjI"
"ybjH"
"cmr"
"ybjG"
"murF"
"deoR"
"dacC"
"yliJ"
"yliI"
"bssR"
"yliG"
"yliF"
"yliE"
"gsiD"
"gsiC"
"murE"
"gsiB"
"gsiA"
"iaaA"
"moeA"
"moeB"
"fsaA"
"ybiY"
"ybiW"
"ybiV"
"ybiU"
"ftsI"
